Speaker;Utterance
CHI;don't
MOT;Ah, what do you see
CHI;xxx
MOT;what do you see
MOT;oh
MOT;lots of fun toys
CHI;ma ma
MOT;what's that
MOT;ooh
CHI;the xxx
MOT;I know
MOT;what does it do
MOT;it spins
CHI;xxx
MOT;what does it do
CHI;ma xxx
MOT;I don't know
MOT;what
MOT;what else do you see
MOT;what does it do
MOT;ooh
MOT;who's that
CHI;mine
MOT;yeah, mine
MOT;it's Ah's
MOT;say Ah
CHI;you press that
MOT;you press that
MOT;and what happens when you press it
CHI;xxx bells bells
MOT;bells
MOT;maybe
MOT;do bells ring
MOT;let's see
MOT;bells
MOT;no
MOT;just press this
MOT;ooh it squeaks
MOT;that's what it does
MOT;it squeaks
MOT;what else do you see
CHI;ooh ooh my ma
MOT;oh xxx
MOT;what is that
MOT;what is that little guy
MOT;he's cute
MOT;he's a froggy
MOT;he looks like a bath toy
MOT;he looks like something you play with in the bathtub
MOT;why don't we play with the toys down here
MOT;did you see any other fun toys
CHI;ma ma xxx
MOT;no we're gonna play with these toys down here
CHI;ma ma
MOT;look at all these toys Rose brought for you to play with
MOT;come look
CHI;ah xxx
MOT;Ah, look, look, ooh, can you roll it to mommy
MOT;good girl, good girl
MOT;what else
MOT;what else
MOT;what do you see
MOT;what else
CHI;I want
MOT;you want what
CHI;the
MOT;oh, what do you do with that
CHI;they put the baby on top
MOT;you're gonna lay your baby on that
MOT;that would be very nice
MOT;maybe she needs to take a nap
CHI;nap
CHI;I need help with that
MOT;you need help spreading it out
MOT;here
MOT;and then where does the baby go
CHI;no there, not right there
MOT;oh, hey, who popped out of there
MOT;something popped out of there
MOT;we didn't know he was in there
CHI;that guy
MOT;that guy
MOT;that's a clown
MOT;that's a clown
MOT;I don't know
MOT;there must be a secret to getting him to come out
MOT;what do you think
MOT;you wanna try
MOT;you trying
MOT;I don't know
MOT;let's see
MOT;let's see
MOT;I don't know
MOT;that's his hat, isn't it
MOT;that's his hat
MOT;and the music
MOT;what's up here
CHI;xxx
MOT;jackinthebox, huh
CHI;ma xxx
MOT;yeah
CHI;like my Mick Mick mouse
MOT;like your Mick Mick mouse
CHI;box
MOT;like your Mick Mick mouse box
MOT;okay
CHI;like my Mick Mick mouse hat
MOT;yeah
MOT;what other toys do you see
MOT;who's this little guy
CHI;bear
MOT;bear
CHI;my xxx
MOT;what
MOT;you need help with the baby
CHI;no, bear get out
MOT;you wanna spread it out
MOT;go ahead
MOT;why are you getting frustrated
CHI;my knee hurt
MOT;your knee hurts
MOT;why are you frustrated
CHI;I need help
MOT;here, you need help
MOT;what should we do
MOT;go like this
CHI;no, no
MOT;ooh
MOT;why are you frustrated
MOT;you need help but what do you want mommy to help you with
MOT;what can I help you with
MOT;how about we play with some blocks
MOT;what do you think
MOT;can we do something with the blocks
CHI;ma kick that
MOT;no, we don't wanna kick the toys
MOT;that's not nice
MOT;should we give the baby a bath
MOT;what's wrong
MOT;Ah, look at some of these nice toys
MOT;look, look
MOT;look at this great ball
MOT;you need to come over here with momma please
MOT;no, no, no, no
MOT;come on, let's see
CHI;no ma, no ma
MOT;here, look, look, look, look, look
MOT;let's see what we can build with these
CHI;no ma
MOT;can you help me
MOT;can you help mommy
MOT;can you help mommy
MOT; look, wait, look
CHI;no
MOT;look, mommy's gonna build it and then
MOT;you get to do the best part
MOT;you can knock it over
MOT;oops xxx
MOT;oh, look
MOT;oh can you knock it over
MOT;yeah
MOT;good girl
MOT;you do it
MOT;Ah do it
MOT;you can do another one
MOT;make it taller
MOT;go ahead, Ah do it
MOT;that's a girl
MOT;oh, that's a little one, that's a little one
MOT;what else can you put up there
MOT;can mommy knock it over
CHI;no
MOT;no
MOT;ready
MOT;I think that's it
MOT;oh, you're gonna put a block in there too
MOT;ready
MOT;should we knock it over
MOT;ready
MOT;I don't know
MOT;you think that's gonna fit
CHI;yeah
MOT;yeah
MOT;oh, there it goes
MOT;foom
MOT;kaboom
MOT;let's do it again
MOT;let's do it again
MOT;let see
MOT;whoops, no
MOT;that's not gonna hold it up
MOT;you put the biggest one on the bottom
MOT;block building one zero one here
MOT;let's see
MOT;here
MOT;can you build
MOT;like this
MOT;whoops
MOT;put it on top
MOT;ready
MOT;boom
MOT;no, you don't like that
MOT;okay, you do it
MOT;Ah do it
MOT;Ah do it right here
MOT;can you make a big tall tower
CHI;can put it like that
MOT;not like that
MOT;no, no
MOT;with the ball in there, that might not work
MOT;can we try making a tower
CHI;no
MOT;yes
CHI;no
MOT;can mommy do it
CHI;no, no, mine
MOT;no
MOT;Ah wants to do it
MOT;oh, look how tall
CHI;xxx
MOT;go ahead
MOT;can you knock it over now
MOT;can you knock this tower over
MOT;look, can you get it before mommy
MOT;quick quick quick quick quick quick
CHI;no no no
MOT;no this
CHI;no no
MOT;can you knock this one over
MOT;let's see
MOT;oh, look how tall mommy made it
MOT;oh, kaboom
CHI;kaboom
MOT;kaboom
MOT;here, try again
MOT;try again
MOT;let's see
MOT;Ah, who's this
MOT;who's that
CHI;Cliff
MOT;Clifford
MOT;that's right
MOT;that's Clifford
MOT;this is Clifford's peekaboo
MOT;who do we see
MOT;who's playing peekaboo
CHI;that
CHI;that momma
MOT;yeah, that looks like momma
MOT;that's Emily Elizabeth I think her name is
MOT;Emily Elizabeth and Clifford are playing peekaboo around the corner
MOT;ah, we love Clifford
MOT;what's Clifford doing
CHI;he's
CHI;he's in the running shoe
MOT;he's in the running shoe
MOT;he's playing peekaboo inside the running shoe
MOT;he's silly, huh
CHI;get out
MOT;say get out of there Clifford
MOT;stinky, stinky shoes
MOT;now where is he
CHI;there
MOT;what is that
CHI;in the cup
MOT;in the cup
MOT;that's right
MOT;do you think he can fit inside that cup
CHI;no
MOT;he must be a pretty little puppy
MOT;and where is he here
MOT;peekaboo, peekaboo, where
MOT;what is this
MOT;is he under the rug
MOT;he better be careful
MOT;he's gonna be stepped on under that rug, huh
MOT;oh, oh where is he now
CHI;in that
MOT;he's in the laundry
MOT;he's hiding under all the socks
MOT;silly, Clifford
MOT;say get out of there, Clifford
MOT;and look at, these are blocks like these blocks right here
CHI;xxx
MOT;I know
MOT;he's hiding under the blocks and he says peekaboo
MOT;oh, oh now where is he
CHI;in that
MOT;in
MOT;what is that
MOT;is that a big bowl
MOT;that looks like a salad bowl
MOT;Clifford's playing in the salad bowl
MOT;he's playing peekaboo with Emily Elizabeth
MOT;and what's this
CHI;in there
MOT;he looks like he's in his daddy's shirt, huh
MOT;he's peeking through the hole in the shirt
MOT;yeah, peekaboo
MOT;oh, oh where is he
CHI;in in hat
MOT;that's right
MOT;there's his little tail sticking out
MOT;he's under the hat, and he says
MOT;peekaboo to the kitty
MOT;you think the kitty's gonna find him
CHI;no
MOT;no
MOT;you don't think so
MOT;you think a moving hat's not gonna give it away
MOT;I don't know
MOT;that's pretty silly
MOT;peekaboo he found him
MOT;he found him under the hat
CHI;no kitty
MOT;not kitty
CHI;no kitty, kitty want be mine
MOT;yeah
CHI;yeah
MOT;that kitty found Clifford under the hat
MOT;cause Clifford was so tiny he could hide in all these places huh
MOT;look at all these fun places
MOT;well you've got to make xxx
MOT;he's hiding in the shoe
MOT;what happened if you put your shoe on and there was a puppy in there
MOT;that would be silly wouldn't it
CHI;xxx wouldn't xxx
MOT;yeah, you wouldn't want that
CHI;wouldn't want that
MOT;what's this Ah
MOT;what does mommy have
CHI;my fishies
MOT;your fishiess, you're right
