Speaker;Utterance
MOT;I do this now
MOT;oh
MOT;look at these fun toys
MOT;wow
CHI;there's a
;(6.0)
CHI;there's a smiley face on the ball
MOT;yeah
MOT;he likes smilies
CHI;oops
CHI;like the other one
CHI;where's the other one
CHI;where's the other one
CHI;where xxx
CHI;where
CHI;where the other one go
CHI;where the other one go
CHI;xxx
CHI;want play that game
MOT;ooh
CHI;is making music
CHI;done xxx
MOT;oh look
MOT;look what I found
CHI;ribbit
CHI;ribbit
MOT;yes
MOT;that's what the frog says
CHI;ribbit
CHI;ma
;(1.0)
CHI;Maddy had one of those
MOT;ooh
MOT;look at this
CHI;some xxx
CHI;unscrew it
MOT;wanna unscrew it
CHI;nope
MOT;it's pretend
CHI;mommy
CHI;screw it please
MOT;but it doesn't unscrew, Albert
MOT;I'm sorry
MOT;Albert, let's play
MOT;let's make a block tower
MOT;here let's put this over here
MOT;we can put it on top at the end
MOT;you wanna make a tower
CHI;no
MOT;no
MOT;sit up straight
MOT;you got to sit up and play
MOT;okay
MOT;I'm going to put the H first
MOT;what do you wanna put
MOT;the E or the D
MOT;wow
MOT;ah
MOT;let's try again
MOT;oh no
MOT;can I go
CHI;mmm
MOT;I got a jimmy
CHI;I got two
MOT;where
MOT;oh
MOT;it's a two
MOT;put it on top
MOT;here
MOT;we'll look at an object
MOT;let's put it on top
MOT;my turn
MOT;whose turn
CHI;mine
MOT;whose turn is it
CHI;mine
MOT;good
MOT;put it on top and let's see if it'll open
MOT;can you put it on top
CHI;where is the two
MOT;right here
MOT;hey can you roll the ball and knock it over
MOT;ah
MOT;good job
MOT;here
MOT;do you want me to build one
CHI;xxx
MOT;what do you wanna do
MOT;okay you go
MOT;your turn
CHI;what
;(0.7)
CHI;what's that
MOT;that's a five
MOT;let's put it on here
CHI;no
CHI;that a two
MOT;put this one here
CHI;that
CHI;that's a two and a five
MOT;yay
MOT;look
MOT;we can put all the letters to show on top
CHI;one
CHI;two
CHI;three
CHI;four
MOT;four
MOT;five
MOT;put the last one on
CHI;no
CHI;no
CHI;go
CHI;go hide mine
MOT;we're not going to hide it
MOT;nope
CHI;one
CHI;two
CHI;three
CHI;four
MOT;Albert
MOT;look
CHI;five
MOT;we have a new
MOT;another tower
MOT;should we put this on top
MOT;put it on top
CHI;no
CHI;no
MOT;no
MOT;I'm going to put it on top
MOT;can you knock it down
CHI;no
MOT;no
MOT;come on, Albert
MOT;I know you can
MOT;maybe you can have the frog jump on it and knock it down
CHI;no
MOT;aw
MOT;you did it
MOT;yay
MOT;Albert
MOT;make another one
MOT;I wanna make the frog jump
CHI;see xxx
MOT;okay
MOT;let's build another tower
MOT;one
MOT;two
MOT;three
MOT;put four on
CHI;hide them
MOT;we're not going to hide them
MOT;let's finish building our tower
MOT;maybe we could put this on top
MOT;can you keep going
MOT;open
CHI;the bubbles
MOT;let's do a tower like this
MOT;one
CHI;I wanna blow the bubbles
MOT;aw
MOT;you're going to blow the bubbles
MOT;yay
MOT;let's
MOT;let's put these on top of the bubbles
MOT;and see if the bubbles can lift them in the air
CHI;they blowing
MOT;how many more
CHI;xxx
MOT;you have
MOT;there's how many blocks left
MOT;now there's
MOT;you have those two blocks
MOT;put them on top
CHI;four and seven
MOT;all right
MOT;put them on the W
MOT;can you cover the W
CHI;no W
MOT;no
MOT;okay
MOT;we put it to  J
MOT;now it's the frog
MOT;wants to jump and knock it down
CHI;no
MOT;no
MOT;here it's my turn
MOT;oh can I have the block please
CHI;can I have a xxx
MOT;can I have the block please
MOT;this is giving mommy the block
CHI;xxx means mom
MOT;sit up
CHI;xxx
MOT;ok, show me putting four
CHI;xxx putting the number four
MOT;look
MOT;there's four
MOT;we need to put in the number four on top of the three
MOT;so now there's four blocks
MOT;and then we need one more and we can knock
MOT;oh
MOT;two more
MOT;can you put the last two on
MOT;one
MOT;so now there's five
MOT;we need one more
CHI;hide it xxx
MOT;uh oh
CHI;xxx
MOT;oh no
MOT;Albert
CHI;xxx the number five
MOT;I don't know Albert
MOT;where'd you put it
CHI;xxx
MOT;alright
MOT;actually, now there's five
MOT;and now they all fell down
MOT;cool
MOT;Albert, guess what
MOT;look
MOT;oh
MOT;the top
MOT;no it's okay
MOT;hello
MOT;hello
MOT;who's this
MOT;the clown says hi
CHI;I'm going to push that one button
MOT;bye
MOT;here
MOT;make him say good bye
MOT;the bunny has to go
MOT;make the bunny jump down
CHI;no
MOT;come on Albert
MOT;I'm going to close them all
MOT;then you have to help me open them
MOT;they're all gone
MOT;they all said good bye
MOT;help me say hello
CHI;xxx good bye
MOT;who's going to say hello first
MOT;the yellow
MOT;the red
MOT;the green
MOT;oh
MOT;oh the yellow one
MOT;oh the bunny rabbit
MOT;hello
CHI;hi
MOT;oh, peekaboo
MOT;come on Albert
MOT;who's going to go first
MOT;I'm going to close the blue one
MOT;can you open it
CHI;ah
MOT;I wanna see the bunny
MOT;there's the yellow one
MOT;bye
CHI;there
CHI;there
MOT;okay
CHI;this xxx
MOT;hello
MOT;can you say hello
MOT;let's say hello
MOT;say hi
MOT;can you say hi to the bunny
CHI;no
CHI;xxx
CHI;they all say good bye
MOT;Albert
MOT;hey, look what I have
CHI;xxx
MOT;what's in there
CHI;thunder Batmans
MOT;oh
MOT;hmm
CHI;they bad
CHI;I no like all the other sign xxx
MOT;Albert
MOT;I have a cookie
MOT;cookie
CHI;mmm mommy
MOT;Albert
MOT;look what I have
MOT;which one you want
CHI;ha
CHI;ha
CHI;that one
MOT;okay
CHI;that one is empty
CHI;it got salt
MOT;no
MOT;I guess those weren't very motivating
CHI;we leave that one by xxx
MOT;Albert
MOT;look what I have
CHI;a balloon
MOT;look what I have
CHI;a balloon
MOT;hey, what is it
MOT;[he said it] already
CHI;mommy blow [it up]
CHI;mommy blow it up
MOT;wait
MOT;wait
MOT;look what I'm going to do
CHI;blow it
MOT;can I have the balloon please
MOT;ready
MOT;set
CHI;go
MOT;wow
CHI;pop
CHI;i plo- it popped over the girl
CHI;mommy blow up please
MOT;okay
CHI;can i now
CHI;now you blow it and then i can
MOT;ready
MOT;set
CHI;go
MOT;wow
MOT;where'd it go
CHI;mommy blow it
MOT;ok
CHI;we doing tug of war
CHI;eh blow
CHI;mommy
CHI;blow it please
MOT;okay
CHI;are you blow
CHI;are you gonna blow the balloon please
MOT;ready
MOT;set
CHI;go
MOT;that was fun
CHI;eh
CHI;xxx
MOT;Albert
MOT;Albert
MOT;go get the balloon
CHI;mommy
CHI;mommy, blow up please
MOT;ok
MOT;ready
MOT;set
CHI;I the balloon please
CHI;I the balloon back
MOT;ok
MOT;xxx
CHI;it pop
MOT;popped
MOT;sorry
CHI;I the balloon please
MOT;Albert, look
MOT;look, Albert
MOT;look what I have now
MOT;look at the toys I have
CHI;star
CHI;xxx
MOT;should I try to get them xxx
MOT;oh, look
MOT;there's more
MOT;there's something else there
MOT;oh
CHI;a snake
CHI;it's white
CHI;white
CHI;white
